organization_name,external_id,schema_type,description,aliases,published_date,updated_date,data_source_url
International Sikh Youth Federation (ISYF),33,Terrorist Organization,"The International Sikh Youth Federation (ISYF) was founded in 1984 in the United Kingdom as an international branch of the All India Sikh Students' Federation (AISSF), with centres in several countries, including Canada. ISYF’s Canadian branch was disbanded in 2002. The ISYF is a Sikh organization whose aim is to promote Sikh philosophy and the establishment of an independent Sikh nation called Khalistan. Since 1984, ISYF was responsible for a number of low-intensity bombings, assassinations, and kidnappings, which targeted Hindus, moderate Sikhs, and Indian government officials. ISYF was also implicated in a range of failed bomb and firearm attacks. The ISYF collaborates and/or associates with a number of Sikh terrorist organizations, including Babbar Khalsa International. In 2023, a number of ISYF associates, including its chief, were arrested for allegedly smuggling arms, ammunition, drugs and explosives across the Punjab border.",,2003-06-18,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Islamic Movement of Uzbekistan (IMU),34,Terrorist Organization,"The Islamic Movement of Uzbekistan (IMU) is a terrorist organization whose primary goal is to overthrow the government of Uzbekistan and install an Islamic, Sharia-driven government. The IMU has employed kidnapping, armed attacks against government installations, cross-border incursions, and coordinated efforts with other terrorist groups, such as Al Qaida and the Taliban. IMU focused predominantly on attacks against international forces in Afghanistan. The IMU has attacked Westerners and has declared its intentions to continue to work with groups with ""similar objectives"". The IMU did not claim any responsibility for attacks between 2018 and 2021. In August 2021, a United Nations sanctions monitoring team reported that IMU remains under the control of the Taliban and that its forces continue to operate in northern Afghanistan.",IMU; O'zbekiston Islomiy Harakati; Harakat ul-Islamiyyah; Islamic Movement of Turkestan; Islamic Party of Turkestan (IPT); IMU-IPT,2003-04-02,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Islamic Revolutionary Guard Corps,2024-02,Terrorist Organization,"The Islamic Revolutionary Guard Corps (IRGC)’s goal is to safeguard the Iranian regime against internal and external threats. It is a key part of Iran’s security and intelligence community, controls Iran’s ballistic missile and unmanned aerial vehicle arsenal, conducts overseas operations, and is Iran’s main link to its regional proxies (collectively known as the “Axis of Resistance”), including Canadian-designated terrorist entities such as Hizballah and Hamas. IRGC forces are comprised of IRGC-Ground Forces, IRGC-Navy, IRGC-Aerospace Force, the Basij Forces, the Al-Qods Force (IRGC-QF, listed on Canada’s Terrorist Entities List since 2012), as well as a counter intelligence directorate and representatives of the Supreme Leader of Iran. The IRGC is heavily involved in commercial and business activities in Iran, controlling multiple commercial entities and wielding influence across a wide range of sectors within the Iranian economy. The profits from these activities are used to support the full range of the IRGC’s illicit operations, including support for terrorism. With the knowledge, support, and direction of the Iranian regime, the IRGC has knowingly carried out terrorist acts utilizing its intelligence organization and the IRGC-QF, and has knowingly acted in association with listed terrorist entities, such as IRGC-QF, Hizballah, Hamas, and Palestinian Islamic Jihad.",Pasdaran (Guardians); Sepah; Sepah-e-Pasdaran Enghelab Islami,2024-06-19,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Islamic Revolutionary Guard Corps' Qods Force (IRGC-QF),35,Terrorist Organization,"The Islamic Revolutionary Guard Corps' Qods Force is the clandestine branch of Iran's Islamic Revolutionary Guard Corps (IRGC) responsible for extraterritorial operations, and for exporting the Iranian Revolution through activities such as facilitating terrorist operations. The Islamic Revolutionary Guard Corps' Qods Force provides arms, funding and paramilitary training to extremist groups, including the Taliban, Lebanese Hizballah, Hamas, Palestinian Islamic Jihad (PIJ) and the Popular Front for the Liberation of Palestine-General Command (PFLP-GC). On June 1, 2023, United States Department of Treasury designated Shahram Poursafi for providing and attempting to provide material support on behalf of the Qods Force to a transnational murder plot. The plot involved targeting a former U.S. national security advisor —possibly in retaliation for the January 2020 death of IRGC-QF commander Qasem Soleimani.",Pasdaran-e Enghelab-e Islami (Pasdaran); Sepah-e Qods; Qods/Quds; al Quds; al Quds Force; Qods/Quds Force; Qods Corps; Jerusalem Corps; Jerusalem Force; Qods Force.,2012-12-17,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Islamic State,36,Terrorist Organization,"The Islamic State is a Sunni jihadist group that seeks to sow civil unrest in Iraq and the Levant with the aim of establishing a single, transnational Islamic state based on Sharia Law, replacing the Iraqi and Syrian governments. The group was originally created in Jordan in the early 1990s under the name Bayat al Imam. The group associated with Al Qaida Core's senior leadership in 1999 and fought alongside Al Qaida Core and the Taliban during the US strikes in Afghanistan in late 2001. The group then transferred to Iraq in anticipation of the US -led invasion, and, in October 2004, formally renamed itself ""Al Qaida in Iraq"" (AQI). The group has also operated under the name of Islamic State of Iraq and Syria (ISIS) and Islamic State of Iraq and al-Sham (ISIS). In 2013, the group renamed itself the ""Islamic State in Iraq and the Levant"" (ISIL). In June 2014, the group renamed itself ""Islamic State"". The Islamic State's tactics include suicide attacks using vehicles and improvised explosive devices, armed attacks, hostage takings, and video-taped beheadings. In June and August 2017, IS claimed responsibility for three vehicular ramming attacks in the UK and Spain. These attacks killed at least 27 people, including two Canadians. In July 2021, a bomb killed at least 35 civilians and wounded at least 60 others at Al-Wuhailat market in the Sadr City area of Baghdad, Iraq. The attack targeted a Shia majority neighbourhood on the eve of the Eid Al-Adha holiday. IS claimed responsibility for the attack and said it was a suicide bombing. In April 2023, IS militants killed at least 16 civilians and 10 security forces in Syria, and in February 2023 IS militants shot and killed at least 46 civilians and seven domestic military members. The militants carried out the attack when the civilians were harvesting truffles.",Daesh; Islamic State in Iraq; the Levant; ISIL; Islamic State of Iraq; Syria; Islamic State of Iraq; al-Sham; ISIS; Al-Dawla Al-Islamiya fi al-Iraq wa al-Sham; Al Qaida in Iraq; al-Qaida in Iraq; Al-Qaeda in Iraq; Al Qaeda in Iraq; AQI; AQI-Zarqawi; al-Tawhid; al-Tawhid; al-Jihad; Kateab al-Tawhid; Brigades of Tawhid; Monotheism; Jihad Group; Al Qaida of the Jihad in the Land of the Two Rivers; Al-Qaida of Jihad in the Land of the Two Rivers; Al-Qaeda in the Land of the Two Rivers; Al-Qaida in the Land of the Two Rivers; Al-Qaida of Jihad Organization in the Land of the Two Rivers; Al-Qaida Group of Jihad in Iraq; Al-Qa'ida of Jihad in Iraq; Al-Qaida Group of Jihad in the Land of the Two Rivers; The Organization of Jihad's Base in the Country of the Two Rivers; The Organization of al-Jihad's Base of Operations in the Land of the Two Rivers; The Organization of al-Jihad's Base of Operations in Iraq; The Organization of al-Jihad's Base in Iraq; The Organization of al-Jihad's Base in the Land of the Two Rivers; The Organization Base of Jihad/Country of the Two Rivers; The Organization Base of Jihad/Mesopotamia; Al-Qaida in Mesopotamia; Tanzim Qa'idat Al-Jihad fi Bilad al-Rafidayn; Tanzim al-Qaeda al-Jihad fi Bilad al-Rafidain; Tanzeem Qa'idat al Jihad/Bilad al Raafidaini; Jama'at Al-Tawhid Wa'al-Jihad; JTJ; Islamic State of Iraq; Islamic State in Iraq; ISI; Mujahidin Shura Council; Unity; Holy Struggle; Unity; Holy War; Unity; Jihad Group; al-Zarqawi Network.,2012-08-20,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Islamic State – Bangladesh,360,Terrorist Organization,"Islamic State – Bangladesh is a violent extremist group that was formed in August 2014, when a group of unidentified Bangladeshi nationals pledged allegiance to the Islamic State and vowed to organize Bengali Muslims under the leadership of IS Chief Abu-Bakr al-Baghdadi. The group's primary goal is uniting the world under one Muslim caliphate. To achieve this, the group encourages followers in Bangladesh to target the country's political leaders, parliamentarians, and members of the security forces and law enforcement, as well as non-Muslims. The group was thought to have been led by a now deceased Canadian-Bangladeshi, who was one of two masterminds of the 2016 attack on the Holey Artisan café in Dhaka resulting in the deaths of twenty two people, mostly foreigners. Members were likely responsible for a February 2020 improvised explosive device explosion at a traffic police box in Chittagong, among other attacks. Investigative reports from 2024 indicate IS-B members in Bangladesh prisons continue to conduct online communication and operations to coordinate terrorist activities and generate funds.",Daesh – Bangladesh,2021-02-03,2025-12-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Islamic State – Democratic Republic of the Congo,62,Terrorist Organization,"In April 2019, the Islamic State (IS) announced the creation of Islamic State Central Africa Province (ISCAP). ISCAP is composed of two separate, geographically distinct insurgencies—one in northern Mozambique and one in eastern Democratic Republic of the Congo (DRC) being conducted by Islamic State – Democratic Republic of the Congo (IS-DRC). In July 2019, IS released a video of Musa Baluku, the leader of the Allied Democratic Forces (ADF), an Islamist-affiliated rebel group based in DRC, pledging allegiance to the leader of IS. Several members of the ADF disagreed with the pledge and split away from the larger group that year. Since the pledge, many of the ADF’s activities have been claimed by IS under the regional banner of ISCAP. IS-DRC has been responsible for attacks in eastern DRC against civilians and military targets. On May 13, 2020, IS issued two communiqués, the first claiming that fighters captured and killed three Congolese soldiers in North Kivu Province, DRC. The second claimed that fighters shot and killed 10 people after opening fire on a crowd of Christians in Iringite, a city near Beni, DRC. Both attacks were confirmed by local media as perpetrated by the ADF. On October 20, 2020, the ADF attacked Kangbayi central prison in Beni, DRC, and freed over 1,300 prisoners. Both the ADF and IS claimed responsibility for the attack.",IS-DRC; Islamic State of Iraq; Syria – Democratic Republic of the Congo; ISIS-DRC; Daesh – Democratic Republic of the Congo; Allied Democratic Forces; ADF; Madina at Tauheed Wau Mujahedeen; City of Monotheism; Holy Warriors; Islamic State Central Africa Province; ISCAP; Wilayat Central Africa; Wilayah Central Africa; Wilayah Central Africa Media Office; Wilayat Wasat Ifriqiyah; ISIS-Central Africa,2021-06-25,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Islamic State East Asia,361,Terrorist Organization,"Islamic State East Asia (ISEA) is a violent extremist group based in the Philippines and comprised of a number of violent extremist organizations who have pledged allegiance to Daesh. ISEA is officially recognized by the Islamic State as an affiliate. ISEA's primary objective is to establish an Islamic state under Shariah law in the Philippines. The groups comprising ISEA include the Abu Sayyaf Group, a terrorist entity that is linked to a number of high-profile kidnappings and executions, including the beheading of two Canadians in 2016. In May 2017, ISEA conducted a large-scale attack on Marawi City, Philippines, killing a substantial number of security forces and civilians. The group laid siege to the city for five months, during which a number of Christian hostages were executed. In December 2023, ISEA militants claimed responsibility for a bombing at a Catholic Mass in Marawi City, which killed at least four people and injured 50 others. On February 18, 2024, the ISEA claimed responsibility for an attack against Philippine Armed Forces members, killing six and injuring four soldiers in Lanao del Norte.",ISEA; Daesh's East Asia Province; Islamic State-Philippines; Ansharul Khilafah Philippines; Bangsamoro Islamic Freedom Fighters – Bungos; Bangsamoro Islamic Freedom Fighters – Abubakar; Jama'atu al-Muhajirin wal Ansar fil Filibin; Dawlah Islamiyah; Islamic State Lanao; Maute Group; Islamic State Ranao; Dawlatul Islamiyah Waliyatul Masrik; Islamic State Sunrise Province,2021-02-03,2025-12-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Islamic State in the Greater Sahara,362,Terrorist Organization,"Islamic State in the Greater Sahara (ISGS) pledged its allegiance to the Islamic State in May 2015. The group has operated and has carried out attacks in the Mali-Niger-Burkina Faso tri-border area. ISGS's primary objective is the replacement of regional governments with a hardline Salafi-jihadist caliphate in the Sahel region governed by Sharia law. ISGS regularly targets regional security and military forces, including Niger Gendarmerie forces, Burkina Faso security services, and Malian soldiers. The group claimed responsibility for the killing of a Canadian geologist in January 2019 and was suspected of attacking a Canadian mining company convoy the same year. In February 2024, ISGS claimed responsibility for an attack on a Catholic church during Sunday mass in the village of Essakane, Mali, killing at least 12 people. In December 2024, IS Sahel militants on motorbikes attacked a market in the town of Chatoumane, Niger, killing 91 soldiers and at least 40 civilians.",ISGS; Daesh in the Greater Sahara; ISIS in the Greater Sahara; Islamic State of the Greater Sahel; ISIS in the Greater Sahel; ISIS in the Islamic Sahel; ISIS-GS,2021-02-03,2025-12-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Islamic State Khorasan Province,37,Terrorist Organization,"Islamic State Khorasan Province (ISKP) is a violent Sunni extremist group, officially recognized by the Islamic State as an affiliate based in Khorasan, a historic region extending over parts of Afghanistan, Pakistan, Turkmenistan, Tajikistan, Uzbekistan, and Iran. The objective of ISKP is to establish the ""wilayat"" (province) of Khorasan as part of the global IS caliphate. Since IS announced the establishment of ISKP in January 2015, the group has carried out suicide bombings, small arms attacks, and abductions against civilians, aid organizations and security forces in Afghanistan and Pakistan. ISKP has demonstrated its ability to carry out high profile attacks, including against Western interests. ISKP claimed responsibility for the June 2016 bomb attack in Kabul that targeted a bus carrying security guards contracted by the Canadian Embassy, which killed at least 14 people. On August 26, 2021, ISKP attacked the Abbey Gate at Kabul’s Hamid Karzai International Airport, killing at least 170 civilians and wounding 150 others. U.S. service personnel were among those killed and at least 15 U.S. troops were injured. ISKP has also expanded operations beyond Afghanistan, including the January 30, 2024, explosions in Kerman, Iran, at a memorial for Qassim Soleimani, the commander of the Quds Force, that killed at least 84 people and wounded 211. On March 22, 2024, four gunmen attacked the Crocus City Hall concert venue near Moscow, Russia, firing at civilians, killing at least 137 people and wounding at least 180. Central IS claimed responsibility for the attack. In February 2025, a suicide attacker targeted a branch of the New Kabul Bank in Kunduz, Afghanistan, killing at least five and injuring seven. ISKP claimed responsibility for the attack.",Islamic State in the Khorasan Province; Islamic State Khorasan; Islamic State – Khorasan; IS Khorasan; Islamic State of Iraq; the Levant – Khorasan (ISIL-K); Islamic State of Iraq; Syria – Khorasan (ISIS-K); Islamic State of Iraq; al-Sham – Khorasan (ISIS-K); Wilayat Khorasan; Daesh Khorasan; ISIL's South Asia Branch; ISIS Wilayat Khorasan; Islamic State's Khorasan Province; South Asian chapter of ISIL; ISIL Khorasan (ISIL-K); Khorasan Chapter of the Islamic State; Islamic State Wilayat Khorasan (ISWK); Khorasan branch of ISIS,2018-05-23,2025-12-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Islamic State in Libya,380,Terrorist Organization,"Islamic State in Libya (IS-Libya) is a violent extremist group and an officially recognized IS-branch formed by Libyan foreign fighters, who had fought as part of the Daesh-affiliated Battar Brigade, and returned to Libya from Syria. The group follows an extreme interpretation of Islam that is anti-Western and promotes sectarian violence. IS-Libya has aimed to remove the United Nations-backed transitional Government of National Accord in Libya. The group targets civilians and police officers and has used suicide bombings to advance its objectives. In May 2018, suicide bombers stormed Libya's electoral commission in Tripoli, killing at least a dozen people in an attack. In September 2018, the Islamic State claimed responsibility for an attack on the headquarters of Libya's main oil company National Oil Corp, opening fire on staff and killing two employees. IS-Libya claimed responsibility for a car bomb attack in June 2021, which killed two people at a checkpoint in the southern Libyan city of Sebha. IS-Libya has also claimed responsibility for three additional attacks in 2022. According to a UN Security Council report in 2024, IS-Libya has continued to operate in remote areas of Libya, funding its activities through human trafficking and gold mining.",Daesh in Libya; IS-Libya; Islamic State – Libya; Islamic State of Iraq; the Levant-Libya; Islamic State of Iraq; al-Sham – Libya; Islamic State of Iraq; Syria – Libya; Wilayat Barqa; Wilayat Barqah; Wilayat Fezzan; Wilayat Tripolitania; Wilayat Tarablus; Wilayat al-Tarabulus; Tripoli Province; Barqa Province; Barqah Province; Fezzan Province,2021-02-03,2025-12-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Islamic State-Mozambique,2025-122,Terrorist Organization,"Islamic State-Mozambique (IS-M) is an armed insurgent group based in Mozambique's northern Cabo Delgado Province that seek to supplant the secular state with Islamic Sharia law-based governance, turning the region into a caliphate. The group emerged in 2015 in the northern districts of Cabo Delgado, Mozambique, transitioning from a religious sect to an armed insurgent group. Its first attack took place on October 5, 2017. In 2019, IS-M was formally incorporated into the Islamic State Central Africa Province and, in May 2022, the Islamic State formally recognized IS-M as an official Islamic State of Iraq and Syria (ISIS) branch. IS-M has repeatedly executed complex operations, held territory, and regularly seeks to infiltrate civilian populations and security forces. The group relies on relatively autonomous cells with flexible chains of command and has at times conducted cross-border attacks into southern Tanzania. In May 2024, it was estimated the IS-M insurgency had killed over 6,500 people and displaced over 1.3 million. On April 11, 2024, IS-M targeted a helicopter of the Mozambican forces with various weapons, causing it to crash and killing the pilot and an onboard officer. Between February 27 and 28, 2024, IS-M fighters attacked three Christian villages in Chiure, beheading one man and burning two churches, one school, and 23 houses.",IS-Mozambique; Islamic State of Iraq; Syria-Mozambique (ISIS-Mozambique); Ansar al-Sunna; Ahl al-Sunna wa al-Jamma (ASWJ); Al-Shabaab; Al-Shabaab in Mozambique; Islamic State Central Africa Province (ISCAP or ISCA); Wilayah Mozambique; Mozambique Province; Islamic State Mozambique Province (ISMP),2025-12-08,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Islamic State – Sinai Province (ISSP),38,Terrorist Organization,"Islamic State – Sinai Province (ISSP), formerly known as Ansar Bayt al-Maqdis, is a Sunni Salafist Islamist extremist group based in the Sinai Peninsula of Egypt, which first appeared in 2011. The primary objective of the group is the formation of an Islamic state in Egypt under Sharia Law. The primary targets of ISSP's violence include the Egyptian military and security services, Israeli interests, and Israeli economic interests. They have carried out repeated attacks against security forces, politicians, and civilians in Egypt using small arms, improvised explosive devices, vehicle-born improvised explosive devices, and surface-to-air missiles. In November 2014, ISSP pledged its allegiance to the Islamic State (IS), and expanded its targets to include tourist sites, Western interests, Western embassies, and the media. In August 2015, ISSP claimed to have beheaded a Croatian national kidnapped and taken hostage in Cairo in July. Two months later, ISSP claimed responsibility for downing Russian airliner KGL9268 over the Sinai through an improvised explosive device killing all 224 passengers aboard. ISSP continues to conduct cross-border attacks against Israel, including firing several rockets in February, April, and October 2017. In 2022, ISSP ranked ninth of the top 20 groups with the largest number of attributed deaths at 71. In May of that year, at least eleven members of the Egyptian military had been killed in an armed attack on the Sinai Peninsula on a water-lifting station east of the Suez Canal. ISSP claimed responsibility for the attack.",Ansar Bayt al-Maqdis; Ansar Jerusalem; Islamic State – Sinai State,2015-04-07,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Islamic State West Africa Province,381,Terrorist Organization,"Islamic State West Africa Province (ISWAP) was formed in March 2015. The group's primary objective has been to replace the Nigerian Government and establish an Islamic state with a strict interpretation of Sharia Law. ISWAP has access to military-grade small-arms and heavy weapons. The group has focused its attacks on regional security and military targets and has kidnapped and executed foreign aid workers. On December 25, 2019, ISWAP fighters attacked Christians in Nigeria's Borno State, and killed eight people with machine gun fire, and captured two others. A day later, also in Borno State, a video was released of the group's fighters executing 11 people identified as Christians. ISWAP also claimed responsibility for a July, 2022 attack on the Kuje Custodial Centre, a major prison in Abuja, Nigeria, which allowed upwards of 800 inmates to escape. Since January 2025, ISWAP has escalated its insurgency and has overrun Nigerian security positions in Borno State, Nigeria. For example, ISWAP claimed responsibility for a wave of assaults in May 2025, attacking bases in New Marte, Dikwa, and Rann, as well as road infrastructure like the Damboa-Maiduguri corridor.",ISWAP; Daesh’s West Africa Province; ISIS-West Africa; ISIS West Africa; ISIS West Africa Province; Islamic State of Iraq; Syria West Africa Province; Islamic State of Iraq; the Levant-West Africa; West Africa Province; Wilayat Gharb Afriqiyya; Wilayat Gharb Afriqiyah; Islamic State in West Africa; ISIS-WA; ISIL-WA,2021-02-03,2025-12-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Jaish-e-Mohammed (JeM),39,Terrorist Organization,"Founded in early 2000, Jaish-e-Mohammed (JeM) is an Islamist extremist group based in Pakistan. Its objectives are to absorb the Indian-administered areas of Jammu and Kashmir into Pakistan and ultimately establish an Islamist state in the country. JeM is committed to using indiscriminate terror tactics to achieve its objectives, including targeting foreigners and political representatives of foreign states. Between 2016 and 2018, JeM has carried out at least four attacks targeting police and military camps. These attacks killed at least 23 people, including soldiers, policemen, and civilians. The purpose of some of these attacks was to target family quarters, hospitals, and to take women and children hostage. In November 2020, four JeM affiliated militants attacked security forces at a checkpoint in the Nagrota area of Jammu, Jammu and Kashmir. Two officers were injured and a large cache of firearms, ammunition, and explosives were seized by security forces.",Jaish-i-Mohammed (Mohammad; Muhammad; Muhammed); Jaish-e-Mohammad (Muhammed); Jaish-e-Mohammad Mujahideen E-Tanzeem; Jeish-e-Mahammed; Army of Mohammed; Mohammed's Army; Tehrik Ul-Furqaan; National Movement for the Restoration of Pakistani Sovereignty; Army of the Prophet.,2002-11-27,2021-06-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Jama’at Nusrat Al-Islam Wal-Muslimin,382,Terrorist Organization,"Jama'at Nusrat Al-Islam Wal-Muslimin (JNIM) is a Mali-based violent extremist group formed in March 2017, through the merging of four Al Qaida-aligned groups: Ansar Dine, the Front de Liberation du Macina, Al Qaida in the Islamic Mahgreb (AQIM)'s Sahara branch, and Al-Murabitoun. The group's main goals have been to implement Sharia law across the Sahara region and expel foreign influence. JNIM is an official affiliate of Al Qaida in Mali and mainly targets regional, French, and United Nations forces. It also targets locations frequented by foreigners, including hotels and restaurants, and holds foreigners hostage for ransom. JNIM's tactics include improvised explosive devices (IED), vehicle-borne IEDs, suicide bombings, rocket and mortar attacks, and complex small arms attacks. In November 2018, JNIM claimed a suicide attack against a UN base in Gao, and specifically identified Canadian, British, and German forces as being among the ""Crusader invader forces."" In a second statement, JNIM identified the United Nations Mine Action Service as its intended target. JNIM is also suspected of carrying out an August 2017 attack on a restaurant in Ouagadougou, Burkina Faso, in which two Canadians were among at least 19 people killed. In August 2024, JNIM attacked hundreds of civilians near the town of Barsalogho, Burkina Faso, killing at least 133 people, including dozens of children, and injuring at least 200 more. JNIM claimed responsibility for the attack, and videos filmed by JNIM show militants shooting at unarmed people.",JNIM; Jama’at Nusrat al-Islam wal Muslimeen; Jama’at Nusrat al-Islam wal Muslimin; Nusrat al-Islam wal Muslimeen; Nusrat al-Islam wal Muslimin; Jama’ah Nusrah al-Islam wal-Muslimin; Jamaat Nosrat al-Islam wal-Mouslimin; Jama’a Nusrah al-Islam wa al-Muslimin; Islam; Muslims’ Support Group; Group for Support of Islam; Muslims; Group to Support Islam; Muslims; Group of Support for Islam; All Muslims; Group for Supporting Islam; Muslims; Groupe de soutien à l’islam et aux musulmans; Union for Supporting Islam; Muslims; NIM; GSIM; GNIM; Rassemblement pour la victoire de l’islam et des fidèles; RVIF,2021-02-03,2025-12-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
James Mason,63,Terrorist Organization,"James Nolan Mason is a life-long American neo-Nazi born on July 25, 1952. He has been an active neo-Nazi since he was 14 years old, when he joined the youth group of the American Nazi Party in 1966. Mason is responsible for publishing a series of newsletters in the 1980s, which promoted the idea of lone actors conducting terrorist attacks against the United States government in order to bring about the collapse of society and a race war. Mason’s collective works, published as a book called",James Nolan Mason,2021-06-25,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Jaysh Al-Muhajirin Wal-Ansar (JMA),40,Terrorist Organization,"JMA is a jihadist militant group operating primarily in the Aleppo area of northern Syria. The goal of JMA is to topple Syrian president Bashar al-Assad's government. JMA is led by Chechens from Russia's North Caucasus, and the group's membership consists of approximately 1000 fighters, most of them foreign. JMA has taken part in joint operations with other jihadist groups in Syria such as the Islamic State and Jabhat al-Nusra. JMA's tactics include the use of large suicide vehicle-borne improvised explosive devices, ground assaults, hostage taking and kidnapping, including foreign nationals and Syrian civilians loyal to Assad. No incidents have been claimed or attributed to JMA distinctly since 2013. However, in the past decade, JMA fighters participated in attacks that were claimed by other terrorist entities, such as IS. JMA fighters, now under the name of Liwa Muhajirin Wal-Ansar (LMA) are still active in Latakia, Aleppo, and Idlib, targeting Syrian regime forces.",Jaish al-Muhajireen wal Ansar; Jaysh al-Muhajireen wa'l-Ansar; Army of Migrants; Supporters; Army of the Emigrants; Helpers; Muhajireen Brigade; Mujahideen Army.,2014-10-30,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Jemaah Islamiyyah (JI),41,Terrorist Organization,"Jemaah Islamiyyah (JI) has its roots in Darul Islam, a violent radical movement that advocated the establishment of Islamic law in Indonesia. JI subscribes to a Salafist interpretation of Islam and aims to establish an Islamic caliphate spanning Indonesia, Malaysia, southern Thailand, Singapore, Brunei, and the southern Philippines. JI has had cells throughout much of Southeast Asia and targets what it sees as enemies of Islam. JI has been responsible for a series of bank robberies, hijackings, and several major bombings of civilian targets, such as the 2002 attack on a night club in Bali, which killed 202 people and injured 500 others, including Canadians citizens.",Jemaa Islamiyah; Jema'a Islamiyya; Jema'a Islamiyyah; Jema'ah Islamiyah; Jema'ah Islamiyyah; Jemaa Islamiya; Jemaa Islamiyya; Jemaah Islamiyya; Jemaa Islamiyyah; Jemaah Islamiah; Jemaah Islamiyah; Jemaah Islamiyyah; Jemaah Islamiya; Jamaah Islamiyah; Jamaa Islamiya; Jemaah Islam; Jemahh Islamiyah; Jama'ah Islamiyah; Al-Jama'ah Al Islamiyyah; Islamic Group; Islamic Community,2003-04-02,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Kahane Chai (Kach),42,Terrorist Organization,"Kahane Chai (Kach) is a marginal, extremist Jewish entity whose goal is the restoration of the biblical state of Israel, replacing democracy with theocracy. Kahane Chai (Kach) advocates expelling Arabs from Israel, expanding Israel's boundaries to include the occupied territories and parts of Jordan, and the strict implementation of Jewish law in Israel. Kahane Chai (Kach) has openly espoused violence against Arabs and the Israeli government as a viable method for establishing a religiously homogenous state. Its activities have included threats to government officials and infrastructure, grenade attacks, armed violence, and bombings.",Meir's Youth; No'ar Meir; Repression of Traitors; State of Yehuda; Sword of David; Dikuy Bogdim; DOV; Judea Police; Kahane Lives; Kfar Tapuah Fund; State of Judea; Judean Legion; Judean Voice; Qomemiyut Movement; Way of the Torah; Yeshiva of the Jewish Idea; Kach; Kahane Movement,2005-05-24,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
